checking_balance,loan_duration,credit_history,purpose,credit_balance,employment_duration,guarantor,assets,age,housing,existing_credits,employment_duration,num_dependents,foreign,loan_status
0<=X<200,6.0,delayed previously,new car,1209.0,unemployed,none,life insurance,47.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,18.0,delayed previously,furniture/equipment,4297.0,>=7,none,no known property,40.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,24.0,existing paid,new car,1442.0,4<=X<7,none,car,23.0,rent,2.0,skilled,1.0,yes,bad
>=200,12.0,existing paid,furniture/equipment,1474.0,<1,none,life insurance,33.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,54.0,no credits/all paid,used car,9436.0,1<=X<4,none,life insurance,39.0,own,1.0,unskilled resident,2.0,yes,good
<0,27.0,existing paid,radio/tv,3416.0,1<=X<4,none,car,27.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,36.0,critical/other existing credit,used car,11054.0,1<=X<4,none,car,30.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,9.0,existing paid,radio/tv,745.0,1<=X<4,none,real estate,28.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,48.0,existing paid,radio/tv,10961.0,4<=X<7,co applicant,no known property,27.0,own,2.0,skilled,1.0,yes,bad
0<=X<200,18.0,existing paid,new car,1042.0,1<=X<4,none,life insurance,33.0,own,1.0,skilled,1.0,yes,bad
<0,6.0,critical/other existing credit,new car,1361.0,<1,none,real estate,40.0,own,1.0,unskilled resident,2.0,no,good
no checking,12.0,existing paid,education,719.0,>=7,none,car,41.0,own,1.0,unskilled resident,2.0,yes,bad
<0,24.0,existing paid,new car,2303.0,>=7,co applicant,real estate,45.0,own,1.0,skilled,1.0,yes,bad
no checking,6.0,existing paid,radio/tv,2108.0,4<=X<7,none,real estate,29.0,rent,1.0,skilled,1.0,yes,good
<0,48.0,existing paid,new car,3931.0,4<=X<7,none,no known property,46.0,for free,1.0,skilled,2.0,yes,bad
no checking,12.0,existing paid,new car,3527.0,<1,none,life insurance,45.0,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,12.0,all paid,retraining,3447.0,1<=X<4,none,real estate,35.0,own,1.0,unskilled resident,2.0,yes,good
no checking,21.0,delayed previously,used car,2993.0,1<=X<4,none,real estate,28.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,48.0,delayed previously,other,7582.0,unemployed,none,no known property,31.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,21.0,delayed previously,furniture/equipment,1591.0,4<=X<7,none,real estate,34.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,30.0,critical/other existing credit,new car,2181.0,>=7,none,real estate,36.0,own,2.0,skilled,1.0,yes,good
<0,36.0,critical/other existing credit,education,8065.0,1<=X<4,none,no known property,25.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,21.0,existing paid,new car,2782.0,4<=X<7,none,car,31.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,13.0,existing paid,radio/tv,2101.0,<1,guarantor,life insurance,23.0,own,1.0,unskilled resident,1.0,yes,good
>=200,36.0,existing paid,radio/tv,5848.0,1<=X<4,none,car,24.0,own,1.0,skilled,1.0,yes,good
<0,13.0,critical/other existing credit,business,1797.0,<1,none,life insurance,28.0,own,2.0,unskilled resident,1.0,yes,good
no checking,30.0,existing paid,used car,4811.0,4<=X<7,none,life insurance,24.0,rent,1.0,unskilled resident,1.0,yes,good
